Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Amoebiasis	17/102	8.383401e-08	2.456337e-05	0	0	5.643759e+00	9.196182e+01	SERPINB3;SERPINB4;CXCL8;LAMB3;IL1R1;ACTN1;CXCL1;LAMC2;CXCL3;CXCL2;IL6;PLCB4;COL4A2;COL4A1;IL1B;GNAS;VCL
GO_Biological_Process_2021	Rheumatoid arthritis	15/93	7.457631e-07	7.426663e-05	0	0	5.412772e+00	7.636803e+01	JUN;CXCL8;HLA-DRB4;CCL20;MMP3;CXCL1;FOS;TNFRSF11A;CXCL3;CXCL2;CXCL5;IL6;CTSL;IL1B;CCL3
GO_Biological_Process_2021	Pathways in cancer	42/531	7.604091e-07	7.426663e-05	0	0	2.463171e+00	3.470463e+01	CXCL8;ROCK2;GSTP1;SLC2A1;ADCY3;XIAP;LAMC2;CALML4;FGF2;FGF3;GNAI1;LRP6;CCND3;BCL2L11;FRAT2;FGF9;MYC;AKT3;BID;IL12RB2;EGLN1;JUN;TCF7L1;JUP;TXNRD3;GADD45B;WNT5B;LAMB3;CDKN2A;TXNRD1;PTCH1;FOS;MTOR;PML;BMP2;IL6;PLCB4;COL4A2;COL4A1;GNAS;ITGA6;NFE2L2
GO_Biological_Process_2021	TNF signaling pathway	15/112	8.119219e-06	5.947328e-04	0	0	4.348236e+00	5.096688e+01	JUN;CCL20;MMP3;LIF;CXCL1;FOS;CXCL3;SELE;CXCL2;CX3CL1;CXCL5;IL6;IL1B;AKT3;CREB3L2
GO_Biological_Process_2021	MAPK signaling pathway	26/294	1.461232e-05	8.562821e-04	0	0	2.747890e+00	3.059403e+01	CACNA1A;IL1RAP;EFNA5;FGF2;FGF3;RAP1A;FGF9;MYC;AKT3;MAP3K6;MAP4K4;JUN;ANGPT2;GADD45B;IL1R1;DUSP1;HSPA6;PLA2G4A;FOS;DUSP7;CDC25B;NR4A1;MRAS;IL1B;MAP3K13;EPHA2
GO_Biological_Process_2021	IL-17 signaling pathway	13/94	2.276680e-05	1.111779e-03	0	0	4.503433e+00	4.814264e+01	JUN;CXCL8;CCL20;MMP3;CXCL1;FOS;CXCL3;CXCL2;CXCL5;FOSL1;IL6;IL1B;FOSB
GO_Biological_Process_2021	Lipid and atherosclerosis	20/215	6.894001e-05	2.885632e-03	0	0	2.890402e+00	2.769662e+01	JUN;CXCL8;ROCK2;HSPA6;MMP3;CXCL1;CALML4;FOS;CXCL3;SELE;CXCL2;IL6;PLCB4;RAP1A;IL1B;AKT3;CCL3;OLR1;BID;NFE2L2
GO_Biological_Process_2021	Focal adhesion	19/201	8.386726e-05	3.071639e-03	0	0	2.939682e+00	2.759266e+01	JUN;LAMB3;ROCK2;ACTN1;TNC;XIAP;LAMC2;PARVB;MYLPF;CCND3;RAP1A;COL4A2;COL4A1;AKT3;ITGB8;PIP5K1B;COL9A3;ITGA6;VCL
GO_Biological_Process_2021	Human cytomegalovirus infection	20/225	1.289734e-04	4.198802e-03	0	0	2.747967e+00	2.461053e+01	CXCL8;IL1R1;CDKN2A;ROCK2;ADCY3;CALML4;CX3CL1;GNAI1;MTOR;IL6;PLCB4;MYC;IL1B;AKT3;CREB3L2;CCL4;GNAS;CCL3;CALR;BID
GO_Biological_Process_2021	Kaposi sarcoma-associated herpesvirus infection	18/193	1.515543e-04	4.440540e-03	0	0	2.893160e+00	2.544409e+01	JUN;TCF7L1;CXCL8;ANGPT2;CXCL1;CALML4;FOS;CXCL3;FGF2;CXCL2;MTOR;C3;RCAN1;ZFP36;IL6;MYC;AKT3;BID
