Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Basal transcription factors	7/45	1.240362e-04	3.113310e-02	0	0	7.197157e+00	6.473797e+01	GTF2A2;CCNH;TAF7;GTF2H1;MNAT1;GTF2E1;GTF2E2
KEGG_2021_Human	Tryptophan metabolism	6/42	6.098973e-04	5.435115e-02	0	0	6.499332e+00	4.810949e+01	MAOB;ALDH2;MAOA;CAT;AOX1;ACAT1
KEGG_2021_Human	Glyoxylate and dicarboxylate metabolism	5/30	8.505582e-04	5.435115e-02	0	0	7.788000e+00	5.505818e+01	CS;PCCA;CAT;ACO1;ACAT1
KEGG_2021_Human	Ubiquitin mediated proteolysis	11/140	8.661537e-04	5.435115e-02	0	0	3.342843e+00	2.357188e+01	CUL4A;KLHL9;CDC23;UBE2D2;CDC16;WWP1;ERCC8;UBE2K;TRIM32;PIAS1;DDB2
KEGG_2021_Human	Nucleotide excision repair	6/47	1.122557e-03	5.635234e-02	0	0	5.705264e+00	3.875099e+01	CUL4A;CCNH;ERCC8;GTF2H1;MNAT1;DDB2
KEGG_2021_Human	Colorectal cancer	8/86	1.479707e-03	6.190108e-02	0	0	4.007016e+00	2.610936e+01	SMAD2;RALB;APC;CTNNB1;PIK3R1;AREG;DDB2;EREG
KEGG_2021_Human	Sphingolipid signaling pathway	9/119	3.233595e-03	1.159475e-01	0	0	3.197672e+00	1.833597e+01	PPP2CA;SGPL1;ASAH1;ROCK1;PPP2R5E;SMPD1;PPP2R2A;PIK3R1;NSMAF
KEGG_2021_Human	Lysosome	9/128	5.230166e-03	1.640965e-01	0	0	2.954459e+00	1.552070e+01	LAPTM4A;CTSO;MANBA;ASAH1;LAMP1;ENTPD4;FUCA1;SMPD1;AP4S1
KEGG_2021_Human	Necroptosis	10/159	7.249337e-03	2.021759e-01	0	0	2.623009e+00	1.292316e+01	PYCARD;CASP8;SMPD1;VPS4B;CHMP2B;TNFRSF10B;CHMP3;VDAC1;STAT6;CHMP7
KEGG_2021_Human	Herpes simplex virus 1 infection	22/498	8.329188e-03	2.090626e-01	0	0	1.819937e+00	8.713837e+00	ZNF573;ZNF140;ZNF492;ZNF180;ZNF10;ZNF45;PIK3R1;ZNF14;TBK1;CASP8;ZNF419;ZNF528;ZNF84;ZNF813;ZNF85;ZNF426;ZNF337;ZNF226;ZNF135;ZNF211;ZNF200;ZNF189
KEGG_2021_Human	Propanoate metabolism	4/34	1.022737e-02	2.257642e-01	0	0	5.180306e+00	2.373972e+01	SUCLA2;PCCA;ACACB;ACAT1
KEGG_2021_Human	AMPK signaling pathway	8/120	1.119936e-02	2.257642e-01	0	0	2.785714e+00	1.251315e+01	PPP2CA;PFKFB3;IRS1;PPP2R5E;IRS2;PPP2R2A;PIK3R1;ACACB
KEGG_2021_Human	Tyrosine metabolism	4/36	1.248842e-02	2.257642e-01	0	0	4.856038e+00	2.128379e+01	MAOB;HGD;MAOA;AOX1
KEGG_2021_Human	Cell cycle	8/124	1.346115e-02	2.257642e-01	0	0	2.689100e+00	1.158450e+01	RB1;SMAD2;CREBBP;CDC23;CDKN1B;CCNH;CDC16;BUB3
KEGG_2021_Human	Legionellosis	5/57	1.434619e-02	2.257642e-01	0	0	3.739038e+00	1.586949e+01	PYCARD;CLK1;CASP8;SAR1A;CLK4
KEGG_2021_Human	Viral carcinogenesis	11/203	1.439134e-02	2.257642e-01	0	0	2.238666e+00	9.494470e+00	RB1;CREBBP;GTF2A2;EGR3;HNRNPK;CDKN1B;CASP8;GTF2H1;PIK3R1;GTF2E1;GTF2E2
KEGG_2021_Human	Histidine metabolism	3/22	1.724855e-02	2.504412e-01	0	0	6.125813e+00	2.487097e+01	MAOB;ALDH2;MAOA
KEGG_2021_Human	Hepatitis C	9/157	1.842634e-02	2.504412e-01	0	0	2.371989e+00	9.473664e+00	RB1;CLDN22;PPP2CA;TBK1;CASP8;CTNNB1;PPP2R2A;PIK3R1;PIAS1
KEGG_2021_Human	Dopaminergic synapse	8/132	1.895770e-02	2.504412e-01	0	0	2.514571e+00	9.971646e+00	PPP2CA;PPP3CA;GNG10;PPP3CC;MAOB;MAOA;PPP2R5E;PPP2R2A
KEGG_2021_Human	Autophagy	8/137	2.311493e-02	2.900923e-01	0	0	2.416483e+00	9.103562e+00	PPP2CA;DEPTOR;TBK1;LAMP1;IRS1;IRS2;PIK3R1;ATG12
KEGG_2021_Human	Synthesis and degradation of ketone bodies	2/10	2.503670e-02	2.992482e-01	0	0	9.685388e+00	3.571402e+01	BDH2;ACAT1
KEGG_2021_Human	Type II diabetes mellitus	4/46	2.844215e-02	3.167365e-01	0	0	3.697937e+00	1.316422e+01	IRS1;IRS2;PIK3R1;HK1
KEGG_2021_Human	Small cell lung cancer	6/92	2.902367e-02	3.167365e-01	0	0	2.713660e+00	9.605389e+00	RB1;CDKN1B;MAX;PIK3R1;FHIT;DDB2
KEGG_2021_Human	Valine, leucine and isoleucine degradation	4/48	3.261885e-02	3.411388e-01	0	0	3.529486e+00	1.208096e+01	ALDH2;PCCA;AOX1;ACAT1
KEGG_2021_Human	Sphingolipid metabolism	4/49	3.483449e-02	3.497383e-01	0	0	3.450876e+00	1.158510e+01	ASAH1;SGPL1;SMPD1;KDSR
KEGG_2021_Human	p53 signaling pathway	5/73	3.723018e-02	3.517123e-01	0	0	2.856912e+00	9.401055e+00	CASP8;ZMAT3;CCNG1;TNFRSF10B;DDB2
KEGG_2021_Human	mRNA surveillance pathway	6/98	3.785281e-02	3.517123e-01	0	0	2.535898e+00	8.302657e+00	PPP2CA;PPP2R5E;PAPOLA;CSTF1;PPP2R2A;ETF1
KEGG_2021_Human	Citrate cycle (TCA cycle)	3/30	3.923484e-02	3.517123e-01	0	0	4.308986e+00	1.395332e+01	CS;SUCLA2;ACO1
KEGG_2021_Human	Pancreatic cancer	5/76	4.311522e-02	3.656367e-01	0	0	2.735775e+00	8.600945e+00	RB1;SMAD2;RALB;PIK3R1;DDB2
KEGG_2021_Human	Cellular senescence	8/156	4.470408e-02	3.656367e-01	0	0	2.104193e+00	6.539180e+00	RB1;SMAD2;PPP3CA;RAD50;PPP3CC;VDAC1;PIK3R1;ZFP36L1
KEGG_2021_Human	Oocyte meiosis	7/129	4.540056e-02	3.656367e-01	0	0	2.232059e+00	6.902043e+00	PPP2CA;PPP3CA;CDC23;SLK;PPP3CC;PPP2R5E;CDC16
KEGG_2021_Human	C-type lectin receptor signaling pathway	6/104	4.823251e-02	3.656367e-01	0	0	2.379903e+00	7.215203e+00	PYCARD;PPP3CA;EGR3;CASP8;PPP3CC;PIK3R1
KEGG_2021_Human	FoxO signaling pathway	7/131	4.861653e-02	3.656367e-01	0	0	2.195832e+00	6.639737e+00	CREBBP;CDKN1B;IRS1;CAT;IRS2;PIK3R1;ATG12
KEGG_2021_Human	RNA degradation	5/79	4.952847e-02	3.656367e-01	0	0	2.624459e+00	7.887045e+00	HSPA9;CNOT6;CNOT7;C1D;EXOSC8
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	10/219	5.200868e-02	3.729765e-01	0	0	1.864192e+00	5.511195e+00	RB1;SMAD2;PPP3CA;CREBBP;CDC23;PPP3CC;CDC16;VDAC1;PIK3R1;BUB3
KEGG_2021_Human	Hepatitis B	8/162	5.360518e-02	3.737472e-01	0	0	2.021584e+00	5.915376e+00	RB1;CREBBP;TBK1;EGR3;CASP8;STAT6;PIK3R1;DDB2
KEGG_2021_Human	Endocytosis	11/252	5.591097e-02	3.753531e-01	0	0	1.778974e+00	5.130552e+00	SMAD2;ARFGEF2;VPS4B;CHMP2B;WWP1;CHMP3;VPS26A;AMPH;CHMP7;SPG21;RNF41
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	9/193	5.682636e-02	3.753531e-01	0	0	1.904354e+00	5.461222e+00	RB1;PPP3CA;GNG10;CREBBP;TBK1;PPP3CC;CASP8;CTNNB1;PIK3R1
KEGG_2021_Human	Endometrial cancer	4/58	5.861181e-02	3.772196e-01	0	0	2.874399e+00	8.154151e+00	APC;CTNNB1;PIK3R1;DDB2
KEGG_2021_Human	Starch and sucrose metabolism	3/36	6.183906e-02	3.880401e-01	0	0	3.524448e+00	9.809314e+00	GBE1;AGL;HK1
KEGG_2021_Human	Viral myocarditis	4/60	6.482469e-02	3.941480e-01	0	0	2.771457e+00	7.582897e+00	CASP8;EIF4G3;SGCG;EIF4G2
KEGG_2021_Human	Phenylalanine metabolism	2/17	6.740803e-02	3.941480e-01	0	0	5.163685e+00	1.392641e+01	MAOB;MAOA
KEGG_2021_Human	Protein processing in endoplasmic reticulum	8/171	6.895544e-02	3.941480e-01	0	0	1.909074e+00	5.105427e+00	SEC24B;SAR1A;UBE2D2;DNAJB12;UBXN8;PLAA;MAN1A1;UGGT2
KEGG_2021_Human	Leukocyte transendothelial migration	6/114	6.909367e-02	3.941480e-01	0	0	2.158428e+00	5.767950e+00	RAP1B;CLDN22;ROCK1;RHOH;CTNNB1;PIK3R1
KEGG_2021_Human	Other glycan degradation	2/18	7.460337e-02	4.161210e-01	0	0	4.840706e+00	1.256439e+01	MANBA;FUCA1
KEGG_2021_Human	Gastric cancer	7/149	8.401015e-02	4.584032e-01	0	0	1.915705e+00	4.744852e+00	RB1;SMAD2;CDKN1B;APC;CTNNB1;PIK3R1;DDB2
KEGG_2021_Human	Long-term potentiation	4/67	8.912470e-02	4.680770e-01	0	0	2.462630e+00	5.953948e+00	RAP1B;PPP3CA;CREBBP;PPP3CC
